CDS_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO_ID
CDS_11174	49412.1625329597	-3.16643081545502	0.558833244289745	-5.66614611390814	1.46045000151177e-08	1.03087305202251e-06	<NA>
CDS_25952	32852.4108131388	-1.56918070394089	0.412309639264626	-3.80583075074257	0.000141329007228476	0.00282709035759201	<NA>
CDS_21123	27476.4442545787	-1.29193491769952	0.379611003061529	-3.40331262076226	0.00066574059823292	0.00939554914447236	<NA>
CDS_35395	12261.0167298867	-2.49504482194584	0.500447394629191	-4.98562855701257	6.17606968782507e-07	2.8637323966727e-05	<NA>
CDS_11151	8356.10739111583	2.03485561053047	0.58875547813357	3.45619817752053	0.000547852369332639	0.00812757691692678	<NA>
CDS_11173	7694.8143505276	-2.83191972776275	0.552467705340337	-5.12594618724039	2.96047162165639e-07	1.49127029596346e-05	<NA>
CDS_11179	7131.18113376164	-2.69714327005971	0.56287336857496	-4.79174077268592	1.65340444129911e-06	6.81153457935937e-05	<NA>
CDS_35393	7049.45150531878	-2.44955425877307	0.508194515127014	-4.82011156330731	1.43477962505128e-06	5.9775292499317e-05	<NA>
CDS_10901	7022.23579400908	-1.36768219402865	0.364058782801301	-3.75676198086702	0.00017212606606936	0.0033291943498572	<NA>
CDS_21118	6968.11426785211	-1.44804719504012	0.387780287789873	-3.73419495687406	0.000188316581615891	0.00356130436427868	<NA>
CDS_21117	6286.59890444197	-1.39239151666855	0.411896412591338	-3.38044098978354	0.000723696132486773	0.00995037287868289	<NA>
CDS_35387	5557.08137311711	-3.01365175762442	0.498781378131786	-6.04202941359243	1.52187712000881e-09	1.38241329868341e-07	<NA>
CDS_11199	5452.29572338041	-1.6064751737967	0.369564076965125	-4.34694623727808	1.38046038977066e-05	0.000412352076534729	<NA>
CDS_6958	5186.01249323823	1.62390844936059	0.467091763082539	3.47663687889446	0.000507744977656834	0.00766598071170713	<NA>
CDS_10898	4643.06028629922	-1.38537699562803	0.377706539493075	-3.66786605677352	0.000244583246011866	0.00433808371641099	<NA>
CDS_11323	4623.23099589329	2.81982326693195	0.727210907906767	3.87758659320532	0.000105497783589401	0.00222690750045285	K02689
CDS_10954	4364.59023521802	8.47490004319643	0.822449334190104	10.3044645923897	6.72651869922311e-25	9.31791002809881e-22	<NA>
CDS_35389	3896.89589693214	-2.74012088415792	0.505248662664616	-5.42331150310598	5.85049061815158e-08	3.50460200164086e-06	<NA>
CDS_10888	3715.22016504144	4.34657132155469	0.552356477086545	7.86914158132276	3.57082882796535e-15	8.60259240685043e-13	K01915
CDS_10904	3331.65162973779	-1.43492201762552	0.380184118202785	-3.77428185166892	0.000160469256381331	0.00315865062028047	<NA>
CDS_35391	3253.35221491957	-2.64846418729249	0.507755374258144	-5.21602393901202	1.82804560764624e-07	1.00788066785749e-05	<NA>
CDS_3145	3160.87101979221	-1.54733362646359	0.393479891847479	-3.93243380036144	8.40901412649665e-05	0.00183804131262004	<NA>
CDS_7168	2984.25463861262	2.83645854953733	0.769200974696615	3.68753894345502	0.0002264334479068	0.00413399583147142	K02690
CDS_35463	2902.99676890933	-2.16739726175329	0.460482036357761	-4.7068008969396	2.51634458083082e-06	9.45292564229395e-05	<NA>
CDS_11178	2876.45421584677	-3.86664371515261	0.470708738186782	-8.21451441510799	2.13024507311077e-16	6.38037186492257e-14	<NA>
CDS_49604	2687.19449566376	-3.50995047483755	0.565672889938705	-6.20491195046996	5.47275348279356e-10	5.46387874741605e-08	<NA>
CDS_25954	2541.28168934171	-1.56654396287689	0.463615409374114	-3.37897302635333	0.000727571463765861	0.00999126017528287	<NA>
CDS_7149	2516.2763722226	3.19273369571706	0.825269628339663	3.86871585489028	0.000109410053168062	0.0022920268605075	<NA>
CDS_3238	2458.65456128976	-1.49316528492582	0.389407170692741	-3.83445759940561	0.000125841676680143	0.00255885772654925	<NA>
CDS_49712	2451.84378379623	-1.8471378950568	0.390172485037631	-4.7341572404283	2.19967152951812e-06	8.43486501388229e-05	K01703
CDS_10953	2253.49068466849	8.06589610354008	0.766904465459552	10.517471819266	7.17736292005805e-26	1.59079071760167e-22	<NA>
CDS_3243	2226.64373433678	-2.34679459129346	0.423170569974133	-5.54574149954925	2.92711011601745e-08	1.91942214826659e-06	K03088
CDS_11324	2152.06850160651	3.01970688939607	0.800890450401122	3.77043687795711	0.000162962018184304	0.00318508833424772	K02689
CDS_27864	2116.64149593379	-1.66752729032445	0.411768802206173	-4.04966884666876	5.12901604678621e-05	0.00122866861290134	<NA>
CDS_16152	2089.12070526339	-1.86090021150103	0.380812834422656	-4.88665308332454	1.0256458511154e-06	4.40550671397706e-05	<NA>
CDS_36281	2082.57952559144	1.79570391100346	0.418047003648695	4.29545935105536	1.74331980123151e-05	0.000491589568377803	<NA>
CDS_21053	2077.15907981462	1.38440354924314	0.393180701142331	3.52103637137061	0.000429863650615905	0.00670006888343946	<NA>
CDS_11217	1924.65146316444	-1.55447752694426	0.388504452224156	-4.00118330187725	6.30265090020348e-05	0.0014520993196685	<NA>
CDS_10887	1910.61569001167	5.11845818354995	0.579208185954574	8.83699213455415	9.83300605240876e-19	4.73779882925191e-16	<NA>
CDS_11321	1904.2236838182	2.61923229340849	0.769831325400492	3.40234569182526	0.000668100714611255	0.00940774093941795	K02690
CDS_11082	1897.85029155822	6.350650403107	0.818132675369307	7.76237228300447	8.335529703213e-15	1.88519061573483e-12	<NA>
CDS_27808	1891.53284581974	-1.54138993006538	0.383209125037303	-4.02232052776755	5.76275620323913e-05	0.00134165681185496	<NA>
